project_id,p0,p1,p2
0,5f14dbbb791d175744d71a09,5ea59ae1ae3958000acc6400,5fa888dbc0c212750f986c9e
1,611a9f9591ef82d19cfc5db1,5ecfc4e722413102e68160ba,5ef0b54037a90c618ad9e97f
2,5ad63c167f70c10001904bc5,5e1e3898753e43085dbc3d71,5dc0856370d51c032949d2db
3,613d091096ca434d703f77c5,5c6ed5ea21a3560001bd3758,6071d42438f4fc44ff6b54c5
4,606b84e11527ce2103add0a5,601941db6605160008690742,6171b1bc917dfe828a3130dd
5,5f36cbc35fc3f70f6385f664,6103a3ece71ab061d5624402,614e848825ae648282115670
6,603e8ed1b54e6cf4fafcaa1a,5eecf91f87fdd30e01f700b8,5c4c747aa123930001ac124f
7,5f7d002d141e4e1c0e84e98e,5f770f1691d3f91d768299f3,58c62eac444ade00010231a9
8,603a293ee62ae15da2674441,5c4b06903566570001309394,5df50a49a98a7a3924e4137e
9,5d8346167ed176001888204d,5f117f2b69f65101263bf8d0,611a78efa6c36a674dc40cc6
10,5fd0c81fc79aef1882cbee94,5f3e95436fa4350dadcfbfeb,5d2d98a9a0d896001a5d6e4f
11,5df97fcd11d8796fd29e85e3,61126cd00f29b7c648dca793,60ef4642202c8520a37e19b5
12,5ecd7b06a1a9170e7806f51e,5f5e7de4c81d3672642cd612,5ffdf54a500d7740e02f3639
13,607d3fb81fd7a5c65619ed88,60056b8b5db9c8774719d1a8,6101885b0f3e7fdafc8fd5d1
14,5f325435f0fc671a7434cabe,5ed22618dd85e700082b5de0,5fb7e27bfec8e14167bddfef
15,610a9f8ba0cf35614ecb2a8d,5ec3b9e83f187802a6aa041e,61693c754827d0e35885a4ea
16,6341258618bd26e47d901d74,5f0559d1bc410b85707c58a3,5f600669b846780f0fe45709
17,602fb33786b077cdbad2d5bb,5b830542b0d72600018dc280,5f233d7f53212b0e22bf055d
18,6043725293678f31ff8f8ae5,5bb2a0148f3bd70001e5633f,5df63f3ce632e14403dfa80f
19,5fa76304caa4374da116923a,5f0af097e7d15b3bf7734642,5e06667850221303e42bdfc4
20,5efd146921bf49159fe2d166,5f8f6afd0b55a11df912a5c9,61139bc8479c2861f52c4a71
21,5fae9cb0444e590669418214,5f983c66dabf130bee4502f7,60c8bfd9f42872e2d303cc67
22,5d2b153afa24ba00173e8ee0,5f3e36440f2e8d0008474ef9,60f88d7fef1959734061e5a7
23,5f2196d2670e5a0a96f218de,5e569011c0486f03a51801b5,60743bea7dd527ac14fef25b
24,612a87998958706392797405,5de585e4040f535067ca331e,5ef3efcb420ab11a45a0b8a6
25,5edab4e9750d97142796d0fa,5d7f460632ee8a0018dc7502,5de00d05988d7c0877eaa15a
26,611ccab657532350bc9b78ee,5eea650223990c15b6063ea8,605f811bc336749dd9dddd1b
27,5ab15ab4c42b630001cd36fb,5f3161410f87706425490ae1,5f99cee5a2a7d109a1624e10
28,5de440d3400de40285c01263,5e7a5584718c83035a42519c,6030119a4403b3e1f92a756a
29,60317fc2c8f6320ecde4bcb3,5fc60be0227abc1b525a09a8,5f4e13a9c6a7d0ae613da383
30,5fd9c5c67fa7c74ec42bb318,5f0d65ef2ad0c60009209f0f,5e2d7770d70e4e367b8a6498
31,5f73427f244c770277ba2a5d,59b536d60516f6000197c3f9,5ea9c1f55ce96d106af147a7
